obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
"=""94.9742""","=""0.0004""","=""94.97429095""","=""0.00000004""","=""-0.0001""","=""105291.7""","=""""","=""3.4375e+07""","=""9.2969e-03""","=""5.8137e-02""","=""-1.73063""",AAA,"=""0.000000000000000""","=""0.9594881325""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,
"=""94.9742""","=""0.0004""","=""94.974287""","=""0.000005""","=""-0.0001""","=""105291.8""","=""33000""","=""4.1250e+06""","=""1.3945e-02""","=""8.7206e-02""","=""-1.55454""",AAA,"=""0.000000000000000""","=""0.95948818""","=""1s""","=""2S""","=""1/2""","=""5""","=""""","=""""",2,50,,
"=""94.9742""","=""0.0004""","=""94.97431207""","=""0.00000004""","=""-0.0001""","=""105291.7""","=""""","=""3.4375e+07""","=""4.6485e-03""","=""2.9068e-02""","=""-2.03166""",AAA,"=""0.000000000000000""","=""0.9594879191""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,
"=""94.974284001""","=""0.000000021""","=""94.974283997""","=""0.000000021""","=""0.000000004""","=""105291.659792""","=""""","=""""","=""""","=""""","=""""",,"=""0.000000000000000""","=""[0.95948820273]""","=""1s""","=""2S""","=""1/2""","=""5d""","=""2D""","=""5/2""",2,6,E2,
"=""94.97431001""","=""0.00000004""","=""94.97431003""","=""0.00000004""","=""-0.00000002""","=""105291.63096""","=""""","=""""","=""""","=""""","=""""",,"=""0.000000000000000""","=""[0.9594879398]""","=""1s""","=""2S""","=""1/2""","=""5s""","=""2S""","=""1/2""",2,2,M1,
"=""97.2517""","=""0.0014""","=""97.253650""","=""0.000011""","=""-0.0020""","=""102826.0""","=""83000""","=""1.2785e+07""","=""2.9006e-02""","=""1.8574e-01""","=""-1.23648""",AAA,"=""0.000000000000000""","=""0.93700036""","=""1s""","=""2S""","=""1/2""","=""4""","=""""","=""""",2,32,,
"=""""","=""""","=""97.2536984969""","=""0.0000000003""","=""""","=""102823.8530211""","=""""","=""""","=""""","=""""","=""""",,"=""0.000000000000000""","=""0.936999892721""","=""1s""","=""2S""","=""1/2""","=""4s""","=""2S""","=""1/2""",2,2,M1,
"=""97.2541""","=""0.0019""","=""97.2536594376""","=""0.0000000003""","=""0.0004""","=""102823.5""","=""""","=""6.8185e+07""","=""1.9337e-02""","=""1.2382e-01""","=""-1.41258""",AAA,"=""0.000000000000000""","=""0.937000269041""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,
"=""97.2541""","=""0.0019""","=""97.2537026950""","=""0.0000000005""","=""0.0004""","=""102823.5""","=""""","=""6.8185e+07""","=""9.6686e-03""","=""6.1912e-02""","=""-1.71361""",AAA,"=""0.000000000000000""","=""0.936999852273""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,
"=""""","=""""","=""102.572144677""","=""0.000000007""","=""""","=""97492.355566""","=""""","=""5.937e+02""","=""2.809e-07""","=""3.612e+00""","=""-6.250""",AAA,"=""0.000000000000000""","=""0.88841571311""","=""1s""","=""2S""","=""1/2""","=""3d""","=""2D""","=""5/2""",2,6,E2,
"=""""","=""""","=""102.572182693""","=""0.000000021""","=""""","=""97492.319433""","=""""","=""5.938e+02""","=""1.873e-07""","=""2.408e+00""","=""-6.426""",AAA,"=""0.000000000000000""","=""0.88841538384""","=""1s""","=""2S""","=""1/2""","=""3d""","=""2D""","=""3/2""",2,4,E2,
"=""""","=""""","=""102.572285517""","=""0.000000007""","=""""","=""97492.221701""","=""""","=""1.109e-06""","=""1.749e-16""","=""8.871e-11""","=""-15.456""",AAA,"=""0.000000000000000""","=""0.88841449324""","=""1s""","=""2S""","=""1/2""","=""3s""","=""2S""","=""1/2""",2,2,M1,
"=""102.5728""","=""0.0003""","=""102.572182505""","=""0.000000007""","=""0.0006""","=""97491.7""","=""""","=""1.6725e+08""","=""5.2761e-02""","=""3.5632e-01""","=""-0.97666""",AAA,"=""0.000000000000000""","=""0.88841538546""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,
"=""102.5728""","=""0.0003""","=""102.57220""","=""0.00003""","=""0.0006""","=""97491.7""","=""250000""","=""5.5751e+07""","=""7.9142e-02""","=""5.3450e-01""","=""-0.80056""",AAA,"=""0.000000000000000""","=""0.88841524""","=""1s""","=""2S""","=""1/2""","=""3""","=""""","=""""",2,18,,
"=""102.5728""","=""0.0003""","=""102.572296565""","=""0.000000007""","=""0.0005""","=""97491.7""","=""""","=""1.6725e+08""","=""2.6380e-02""","=""1.7816e-01""","=""-1.27769""",AAA,"=""0.000000000000000""","=""0.88841439755""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,
"=""121.56699""","=""0.00020""","=""121.5668237310""","=""0.0000000006""","=""0.00017""","=""82259.17""","=""""","=""6.2647e+08""","=""2.7760e-01""","=""2.2220e+00""","=""-0.25555""",AAA,"=""0.000000000000000""","=""0.749601760263""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,
"=""121.56699""","=""0.00020""","=""121.5673644608""","=""0.0000000004""","=""-0.00037""","=""82259.17""","=""""","=""6.2648e+08""","=""1.3880e-01""","=""1.1110e+00""","=""-0.55657""",AAA,"=""0.000000000000000""","=""0.749598426045""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,
"=""121.56701""","=""0.00021""","=""121.56701""","=""0.00015""","="" 0.00000""","=""82259.16""","=""840000""","=""4.6986e+08""","=""4.1641e-01""","=""3.3331e+00""","=""-0.07945""",AAA,"=""0.000000000000000""","=""0.74960060""","=""1s""","=""2S""","=""1/2""","=""2""","=""""","=""""",2,8,,
"=""121.5673123130200""","=""0.0000000000015""","=""121.5673123130200""","=""0.0000000000015""","="" 0.0000000000000""","=""82258.9543992821""","=""""","=""2.495e-06""","=""5.528e-16""","=""3.323e-10""","=""-14.956""",AAA,"=""0.000000000000000""","=""0.7495987475945""","=""1s""","=""2S""","=""1/2""","=""2s""","=""2S""","=""1/2""",2,2,M1,
"=""""","=""""","=""365.61647""","=""0.00013""","=""""","=""27351.065""","=""""","=""6.7464e+01""","=""5.4079e-05""","=""5.2074e-03""","=""-3.36388""",AAA,"=""0.74960060""","=""[0.998841848]""","=""2""","=""""","=""""","=""40""","=""""","=""""",8,3200,,
"=""""","=""""","=""365.66407""","=""0.00013""","=""""","=""27347.505""","=""""","=""7.6576e+01""","=""5.8368e-05""","=""5.6211e-03""","=""-3.33073""",AAA,"=""0.74960060""","=""[0.998809403]""","=""2""","=""""","=""""","=""39""","=""""","=""""",8,3042,,
"=""""","=""""","=""365.71549""","=""0.00013""","=""""","=""27343.660""","=""""","=""8.7206e+01""","=""6.3123e-05""","=""6.0799e-03""","=""-3.29672""",AAA,"=""0.74960060""","=""[0.998774364]""","=""2""","=""""","=""""","=""38""","=""""","=""""",8,2888,,
"=""365.769""","=""0.003""","=""365.77116""","=""0.00019""","=""-0.002""","=""27339.65""","=""700""","=""9.9657e+01""","=""6.8410e-05""","=""6.5901e-03""","=""-3.26179""",AAA,"=""0.74960060""","=""[0.998736445]""","=""2""","=""""","=""""","=""37""","=""""","=""""",8,2738,,
"=""365.829""","=""0.003""","=""365.83154""","=""0.00019""","=""-0.002""","=""27335.16""","=""700""","=""1.1430e+02""","=""7.4305e-05""","=""7.1591e-03""","=""-3.22589""",AAA,"=""0.74960060""","=""[0.998695323]""","=""2""","=""""","=""""","=""36""","=""""","=""""",8,2592,,
"=""365.908""","=""0.010""","=""365.89720""","=""0.00019""","=""0.011""","=""27329.3""","=""700bl""","=""1.3161e+02""","=""8.0898e-05""","=""7.7958e-03""","=""-3.18897""",AAA,"=""0.74960060""","=""[0.998650626]""","=""2""","=""""","=""""","=""35""","=""""","=""""",8,2450,,
"=""365.969""","=""0.003""","=""365.96876""","=""0.00019""","=""0.000""","=""27324.70""","=""700""","=""1.5216e+02""","=""8.8297e-05""","=""8.5104e-03""","=""-3.15097""",AAA,"=""0.74960060""","=""[0.998601927]""","=""2""","=""""","=""""","=""34""","=""""","=""""",8,2312,,
"=""366.045""","=""0.003""","=""366.04695""","=""0.00019""","=""-0.002""","=""27319.03""","=""700""","=""1.7669e+02""","=""9.6627e-05""","=""9.3153e-03""","=""-3.11181""",AAA,"=""0.74960060""","=""[0.998548734]""","=""2""","=""""","=""""","=""33""","=""""","=""""",8,2178,,
"=""366.136""","=""0.010""","=""366.13263""","=""0.00019""","=""0.004""","=""27312.2""","=""700bl""","=""2.0612e+02""","=""1.0604e-04""","=""1.0225e-02""","=""-3.07143""",AAA,"=""0.74960060""","=""[0.998490477]""","=""2""","=""""","=""""","=""32""","=""""","=""""",8,2048,,
