element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
O,7,"=""""","=""""","=""1.8637378""","=""0.0000015""","=""""","=""1.451e+08""","=""2.514e-05""","=""1.457e-03""",AA,"=""0.000000""","=""(48.894595)""","=""1s2""","=""1S""","=""0""","=""1s.3d""","=""1D""","=""2""",1,5,E2,"=""T3908""","=""""",
O,7,"=""""","=""""","=""1.8727765""","=""0.0000025""","=""""","=""3.57e+02""","=""5.63e-11""","=""2.61e-07""",C,"=""0.000000""","=""(48.658612)""","=""1s2""","=""1S""","=""0""","=""1s.3s""","=""3S""","=""1""",1,3,M1,"=""T4905""","=""""",
O,8,"=""""","=""""","=""1.896710547""","=""0.000000005""","=""""","=""2.5658e+12""","=""2.7677e-01""","=""3.4564e-02""",AA,"=""0.00000000""","=""(48.044602896)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""1.897251243""","=""0.000000005""","=""""","=""2.5688e+12""","=""1.3863e-01""","=""1.7317e-02""",AA,"=""0.00000000""","=""(48.030910708)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
O,7,"=""""","=""""","=""2.1601500""","=""0.0000006""","=""""","=""3.309e+12""","=""6.945e-01""","=""4.939e-02""",AA,"=""0.000000""","=""(42.18536001)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
O,6,"=""2.1780""","=""0.0003""","=""2.17799""","=""0.00004""","=""*""","=""""","=""""","=""""",,"=""0.8782320""","=""(42.7180)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2S""","=""1/2""",2,2,,"=""""","=""L22456,L4172,L3082c164""",
O,6,"=""2.1780""","=""0.0003""","=""2.17824""","=""0.00004""","=""*""","=""""","=""""","=""""",,"=""0.883073""","=""(42.7180)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2S""","=""1/2""",4,2,,"=""""","=""L22456,L4172,L3082c164""",
O,7,"=""""","=""""","=""2.1801013""","=""0.0000006""","=""""","=""3.31e+05""","=""1.18e-07""","=""5.47e-01""",A,"=""0.000000""","=""(41.79929914)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""2""",1,5,M2,"=""T1494""","=""""",
O,7,"=""""","=""""","=""2.1803634""","=""0.0000006""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""(41.79427297)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""1""",1,3,,"=""""","=""""",
O,6,"=""2.18380""","=""0.00024""","=""2.183892""","=""0.000017""","=""*""","=""""","=""""","=""""",,"=""0.0000000""","=""(41.7267)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""3/2""",2,4,,"=""""","=""L22456,L20732c164,L4172,L3082c164""",
O,6,"=""2.18380""","=""0.00024""","=""2.183913""","=""0.000019""","=""*""","=""""","=""""","=""""",,"=""0.0000000""","=""(41.7263)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""1/2""",2,2,,"=""""","=""L22456,L20732c164,L4172,L3082c164""",
O,6,"=""2.201928""","=""0.000012""","=""2.201927""","=""0.000013""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""41.38497""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""3/2""",2,4,,"=""""","=""L23119,L11989,L20732,L3082,L4172,L148,L2216,L627""",
O,6,"=""2.202105""","=""0.000013""","=""2.202105""","=""0.000012""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""41.38163""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""1/2""",2,2,,"=""""","=""L23119,L11989,L20732,L3082,L4172,L148,L2216,L627""",
O,6,"=""2.2044""","=""0.0003""","=""2.204695""","=""0.000010""","=""*""","=""""","=""""","=""""",,"=""0.8782320""","=""(42.21126)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2P""","=""3/2""",2,4,,"=""""","=""L22456,L4172,L3082c164,L2216,L627""",
O,6,"=""2.2044""","=""0.0003""","=""2.204953""","=""0.000010""","=""*""","=""""","=""""","=""""",,"=""0.883073""","=""(42.21126)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2P""","=""3/2""",4,4,,"=""""","=""L22456,L4172,L3082c164,L2216,L627""",
O,6,"=""2.2044""","=""0.0003""","=""2.204979""","=""0.000011""","=""*""","=""""","=""""","=""""",,"=""0.8782320""","=""(42.20593)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2P""","=""1/2""",2,2,,"=""""","=""L22456,L4172,L3082c164,L2216,L627""",
O,6,"=""2.2044""","=""0.0003""","=""2.205238""","=""0.000011""","=""*""","=""""","=""""","=""""",,"=""0.883073""","=""(42.20593)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2P""","=""1/2""",4,2,,"=""""","=""L22456,L4172,L3082c164,L2216,L627""",
O,7,"=""""","=""""","=""2.2097720""","=""0.0000006""","=""""","=""1.04e+03""","=""2.28e-10""","=""1.25e-06""",AA,"=""0.000000""","=""(41.2380570)""","=""1s2""","=""1S""","=""0""","=""1s.2s""","=""3S""","=""1""",1,3,M1,"=""T1896""","=""""",
O,6,"=""2.2123""","=""0.0003""","=""2.212056""","=""0.000023""","=""*""","=""""","=""""","=""""",,"=""0.8782320""","=""(42.0737)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2D""","=""3/2""",2,4,,"=""""","=""L22456,L4172,L3082c164,L627""",
O,6,"=""2.2123""","=""0.0003""","=""2.212316""","=""0.000023""","=""*""","=""""","=""""","=""""",,"=""0.883073""","=""(42.0737)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2D""","=""3/2""",4,4,,"=""""","=""L22456,L4172,L3082c164,L627""",
O,6,"=""2.2123""","=""0.0003""","=""2.212460""","=""0.000023""","=""*""","=""""","=""""","=""""",,"=""0.883073""","=""(42.0710)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2D""","=""5/2""",4,6,,"=""""","=""L22456,L4172,L3082c164,L627""",
O,6,"=""""","=""""","=""2.232745""","=""0.000009""","=""""","=""""","=""""","=""""",,"=""0.8782320""","=""41.69198+x""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""5/2""",2,6,,"=""""","=""""",
O,6,"=""""","=""""","=""2.232873""","=""0.000009""","=""""","=""""","=""""","=""""",,"=""0.8782320""","=""41.68964+x""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""3/2""",2,4,,"=""""","=""""",
O,6,"=""""","=""""","=""2.233010""","=""0.000009""","=""""","=""""","=""""","=""""",,"=""0.883073""","=""41.69198+x""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""4P""","=""5/2""",4,6,,"=""""","=""""",
O,6,"=""""","=""""","=""2.233019""","=""0.000009""","=""""","=""""","=""""","=""""",,"=""0.8782320""","=""41.68699+x""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""1/2""",2,2,,"=""""","=""""",
O,6,"=""""","=""""","=""2.233138""","=""0.000009""","=""""","=""""","=""""","=""""",,"=""0.883073""","=""41.68964+x""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""4P""","=""3/2""",4,4,,"=""""","=""""",
O,6,"=""""","=""""","=""2.233283""","=""0.000009""","=""""","=""""","=""""","=""""",,"=""0.883073""","=""41.68699+x""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""4P""","=""1/2""",4,2,,"=""""","=""""",
O,6,"=""2.2372""","=""0.0006""","=""2.237593""","=""0.000008""","=""*""","=""""","=""""","=""""",,"=""0.0000000""","=""(40.72533)+x""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""3/2""",2,4,,"=""""","=""L22456,L12076,L2216""",
O,6,"=""2.2372""","=""0.0006""","=""2.237649""","=""0.000010""","=""*""","=""""","=""""","=""""",,"=""0.0000000""","=""40.72431+x""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""1/2""",2,2,,"=""""","=""L22456,L12076,L2216""",
O,6,"=""""","=""""","=""2.237386""","=""0.000010""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""40.72910+x""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""5/2""",2,6,,"=""""","=""""",
O,6,"=""2.3017""","=""0.0020""","=""2.30133""","=""0.00003""","=""*""","=""""","=""""","=""""",,"=""0.8782320""","=""(40.4756)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s2""","=""2S""","=""1/2""",2,2,,"=""""","=""L22456,L12076""",
O,6,"=""2.3017""","=""0.0020""","=""2.30161""","=""0.00003""","=""*""","=""""","=""""","=""""",,"=""0.883073""","=""(40.4756)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s2""","=""2S""","=""1/2""",4,2,,"=""""","=""L22456,L12076""",
O,8,"=""""","=""""","=""6.40004801""","=""0.00000004""","=""""","=""1.7627e+10""","=""2.1648e-02""","=""9.1224e-03""",AA,"=""(48.030910708)""","=""(62.269351552)""","=""2p""","=""2P*""","=""1/2""","=""6d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""6.40026428""","=""0.00000004""","=""""","=""1.0064e+09""","=""6.1805e-04""","=""2.6045e-04""",AA,"=""(48.030910708)""","=""(62.268870442)""","=""2p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""6.40034764""","=""0.00000004""","=""""","=""1.1720e+10""","=""1.4395e-02""","=""6.0664e-03""",AA,"=""(48.03157814)""","=""(62.269352431)""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""6.40057557""","=""0.00000004""","=""""","=""1.1734e+10""","=""7.2068e-03""","=""3.0372e-03""",AA,"=""(48.03157814)""","=""(62.268845398)""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""6.40613243""","=""0.00000004""","=""""","=""2.1094e+10""","=""1.9467e-02""","=""1.6422e-02""",AA,"=""(48.044602896)""","=""(62.269520346)""","=""2p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""6.40620845""","=""0.00000004""","=""""","=""3.5121e+09""","=""2.1608e-03""","=""1.8229e-03""",AA,"=""(48.044602896)""","=""(62.269351552)""","=""2p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""6.40642513""","=""0.00000004""","=""""","=""2.0260e+09""","=""6.2329e-04""","=""5.2583e-04""",AA,"=""(48.044602896)""","=""(62.268870442)""","=""2p""","=""2P*""","=""3/2""","=""6s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""6.77219202""","=""0.00000005""","=""""","=""3.2287e+10""","=""4.4399e-02""","=""1.9797e-02""",AA,"=""(48.030910708)""","=""(61.486923881)""","=""2p""","=""2P*""","=""1/2""","=""5d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""6.77252719""","=""0.00000005""","=""""","=""2.0288e+10""","=""2.7901e-02""","=""1.2442e-02""",AA,"=""(48.03157814)""","=""(61.486925375)""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""6.77261051""","=""0.00000005""","=""""","=""1.7647e+09""","=""1.2135e-03""","=""5.4112e-04""",AA,"=""(48.030910708)""","=""(61.486092416)""","=""2p""","=""2P*""","=""1/2""","=""5s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""6.77296824""","=""0.00000005""","=""""","=""2.0318e+10""","=""1.3973e-02""","=""6.2313e-03""",AA,"=""(48.03157814)""","=""(61.486049174)""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""6.77894300""","=""0.00000005""","=""""","=""3.8644e+10""","=""3.9936e-02""","=""3.5650e-02""",AA,"=""(48.044602896)""","=""(61.487215559)""","=""2p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""6.77909010""","=""0.00000005""","=""""","=""6.4350e+09""","=""4.4335e-03""","=""3.9578e-03""",AA,"=""(48.044602896)""","=""(61.486923881)""","=""2p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""6.77950944""","=""0.00000005""","=""""","=""3.5524e+09""","=""1.2239e-03""","=""1.0927e-03""",AA,"=""(48.044602896)""","=""(61.486092416)""","=""2p""","=""2P*""","=""3/2""","=""5s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""7.58402796""","=""0.00000006""","=""""","=""7.0632e+10""","=""1.2181e-01""","=""6.0827e-02""",AA,"=""(48.030910708)""","=""(60.046518453)""","=""2p""","=""2P*""","=""1/2""","=""4d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""7.58444741""","=""0.00000006""","=""""","=""3.9630e+10""","=""6.8353e-02""","=""3.4134e-02""",AA,"=""(48.03157814)""","=""(60.046521369)""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""7.58505329""","=""0.00000006""","=""""","=""3.5309e+09""","=""3.0455e-03""","=""1.5210e-03""",AA,"=""(48.030910708)""","=""(60.04489421)""","=""2p""","=""2P*""","=""1/2""","=""4s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""7.58552794""","=""0.00000006""","=""""","=""3.9707e+10""","=""3.4252e-02""","=""1.7107e-02""",AA,"=""(48.03157814)""","=""(60.04480989)""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""7.59231969""","=""0.00000006""","=""""","=""8.4563e+10""","=""1.0962e-01""","=""1.0959e-01""",AA,"=""(48.044602896)""","=""(60.047088141)""","=""2p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""7.59268007""","=""0.00000006""","=""""","=""1.4085e+10""","=""1.2173e-02""","=""1.2171e-02""",AA,"=""(48.044602896)""","=""(60.046518453)""","=""2p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""7.59370774""","=""0.00000006""","=""""","=""7.1087e+09""","=""3.0728e-03""","=""3.0727e-03""",AA,"=""(48.044602896)""","=""(60.04489421)""","=""2p""","=""2P*""","=""3/2""","=""4s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
O,7,"=""""","=""""","=""7.89297""","=""0.00006""","=""""","=""4.61e+09""","=""1.29e-02""","=""3.35e-03""",A,"=""(41.79373715)""","=""(53.33904)""","=""1s.2p""","=""3P*""","=""0""","=""1s.7d""","=""3D""","=""1""",1,3,,"=""T5231LS""","=""""",
O,7,"=""""","=""""","=""7.89333""","=""0.00006""","=""""","=""6.22e+09""","=""9.67e-03""","=""7.53e-03""",A,"=""(41.79427297)""","=""(53.33904)""","=""1s.2p""","=""3P*""","=""1""","=""1s.7d""","=""3D""","=""2""",3,5,,"=""T5231LS""","=""""",
O,7,"=""""","=""""","=""7.89333""","=""0.00006""","=""""","=""3.45e+09""","=""3.22e-03""","=""2.51e-03""",A,"=""(41.79427297)""","=""(53.33904)""","=""1s.2p""","=""3P*""","=""1""","=""1s.7d""","=""3D""","=""1""",3,3,,"=""T5231LS""","=""""",
O,7,"=""""","=""""","=""7.89675""","=""0.00006""","=""""","=""8.28e+09""","=""1.08e-02""","=""1.41e-02""",A,"=""(41.79929914)""","=""(53.33907)""","=""1s.2p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""3""",5,7,,"=""T5231LS""","=""""",
O,7,"=""""","=""""","=""7.89677""","=""0.00006""","=""""","=""2.07e+09""","=""1.93e-03""","=""2.51e-03""",A,"=""(41.79929914)""","=""(53.33904)""","=""1s.2p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""2""",5,5,,"=""T5231LS""","=""""",
O,7,"=""""","=""""","=""7.89677""","=""0.00006""","=""""","=""2.30e+08""","=""1.29e-04""","=""1.67e-04""",A,"=""(41.79929914)""","=""(53.33904)""","=""1s.2p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""1""",5,3,,"=""T5231LS""","=""""",
O,7,"=""""","=""""","=""8.14801""","=""0.00003""","=""""","=""7.515e+09""","=""2.243e-02""","=""6.017e-03""",AA,"=""(41.79373715)""","=""(52.977658)""","=""1s.2p""","=""3P*""","=""0""","=""1s.6d""","=""3D""","=""1""",1,3,,"=""T5997LS""","=""""",
O,7,"=""""","=""""","=""8.14839""","=""0.00003""","=""""","=""1.014e+10""","=""1.682e-02""","=""1.353e-02""",AA,"=""(41.79427297)""","=""(52.977668)""","=""1s.2p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""2""",3,5,,"=""T5997LS""","=""""",
O,7,"=""""","=""""","=""8.14840""","=""0.00003""","=""""","=""5.635e+09""","=""5.608e-03""","=""4.512e-03""",AA,"=""(41.79427297)""","=""(52.977658)""","=""1s.2p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""1""",3,3,,"=""T5997LS""","=""""",
O,7,"=""""","=""""","=""8.15203""","=""0.00003""","=""""","=""1.351e+10""","=""1.884e-02""","=""2.528e-02""",AA,"=""(41.79929914)""","=""(52.977703)""","=""1s.2p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""3""",5,7,,"=""T5997LS""","=""""",
O,7,"=""""","=""""","=""8.15206""","=""0.00003""","=""""","=""3.377e+09""","=""3.364e-03""","=""4.513e-03""",AA,"=""(41.79929914)""","=""(52.977668)""","=""1s.2p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""2""",5,5,,"=""T5997LS""","=""""",
O,7,"=""""","=""""","=""8.15206""","=""0.00003""","=""""","=""3.752e+08""","=""2.242e-04""","=""3.009e-04""",AA,"=""(41.79929914)""","=""(52.977658)""","=""1s.2p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""1""",5,3,,"=""T5997LS""","=""""",
O,7,"=""""","=""""","=""8.159876""","=""0.000020""","=""""","=""6.770e+09""","=""2.027e-02""","=""5.445e-03""",AA,"=""(41.8133563)""","=""(52.981014)""","=""1s.2s""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
O,7,"=""""","=""""","=""8.44325""","=""0.00005""","=""""","=""1.177e+10""","=""2.096e-02""","=""1.748e-02""",AA,"=""(42.18536001)""","=""(52.978204)""","=""1s.2p""","=""1P*""","=""1""","=""1s.6d""","=""1D""","=""2""",3,5,,"=""T5997""","=""""",
O,7,"=""""","=""""","=""8.60942""","=""0.00010""","=""""","=""1.369e+10""","=""4.562e-02""","=""1.293e-02""",AA,"=""(41.79373715)""","=""(52.37827)""","=""1s.2p""","=""3P*""","=""0""","=""1s.5d""","=""3D""","=""1""",1,3,,"=""T5997LS""","=""""",
O,7,"=""""","=""""","=""8.60984""","=""0.00010""","=""""","=""1.848e+10""","=""3.421e-02""","=""2.909e-02""",AA,"=""(41.79427297)""","=""(52.37829)""","=""1s.2p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""2""",3,5,,"=""T5997LS""","=""""",
O,7,"=""""","=""""","=""8.60986""","=""0.00010""","=""""","=""1.026e+10""","=""1.140e-02""","=""9.689e-03""",AA,"=""(41.79427297)""","=""(52.37827)""","=""1s.2p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""1""",3,3,,"=""T5997LS""","=""""",
O,7,"=""""","=""""","=""8.61385""","=""0.00010""","=""""","=""2.461e+10""","=""3.829e-02""","=""5.428e-02""",AA,"=""(41.79929914)""","=""(52.37839)""","=""1s.2p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""3""",5,7,,"=""T5997LS""","=""""",
O,7,"=""""","=""""","=""8.61393""","=""0.00010""","=""""","=""6.150e+09""","=""6.838e-03""","=""9.693e-03""",AA,"=""(41.79929914)""","=""(52.37829)""","=""1s.2p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""2""",5,5,,"=""T5997LS""","=""""",
O,7,"=""""","=""""","=""8.61395""","=""0.00010""","=""""","=""6.833e+08""","=""4.559e-04""","=""6.462e-04""",AA,"=""(41.79929914)""","=""(52.37827)""","=""1s.2p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""1""",5,3,,"=""T5997LS""","=""""",
O,7,"=""""","=""""","=""8.620643""","=""0.000022""","=""""","=""1.165e+10""","=""3.893e-02""","=""1.105e-02""",AA,"=""(41.8133563)""","=""(52.384111)""","=""1s.2s""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
O,7,"=""""","=""""","=""8.93916""","=""0.00009""","=""""","=""2.167e+10""","=""4.324e-02""","=""3.816e-02""",AA,"=""(42.18536001)""","=""(52.37947)""","=""1s.2p""","=""1P*""","=""1""","=""1s.5d""","=""1D""","=""2""",3,5,,"=""T5997""","=""""",
O,7,"=""""","=""""","=""9.61159""","=""0.00011""","=""""","=""2.958e+10""","=""1.229e-01""","=""3.890e-02""",AA,"=""(41.79373715)""","=""(51.27465)""","=""1s.2p""","=""3P*""","=""0""","=""1s.4d""","=""3D""","=""1""",1,3,,"=""T5997LS""","=""""",
O,7,"=""""","=""""","=""9.61210""","=""0.00011""","=""""","=""3.993e+10""","=""9.219e-02""","=""8.752e-02""",AA,"=""(41.79427297)""","=""(51.27469)""","=""1s.2p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""2""",3,5,,"=""T5997LS""","=""""",
O,7,"=""""","=""""","=""9.61213""","=""0.00011""","=""""","=""2.218e+10""","=""3.073e-02""","=""2.917e-02""",AA,"=""(41.79427297)""","=""(51.27465)""","=""1s.2p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""1""",3,3,,"=""T5997LS""","=""""",
O,7,"=""""","=""""","=""9.61701""","=""0.00011""","=""""","=""5.323e+10""","=""1.032e-01""","=""1.634e-01""",AA,"=""(41.79929914)""","=""(51.27487)""","=""1s.2p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""3""",5,7,,"=""T5997LS""","=""""",
O,7,"=""""","=""""","=""9.61720""","=""0.00011""","=""""","=""1.329e+10""","=""1.843e-02""","=""2.918e-02""",AA,"=""(41.79929914)""","=""(51.27469)""","=""1s.2p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""2""",5,5,,"=""T5997LS""","=""""",
O,7,"=""""","=""""","=""9.61723""","=""0.00011""","=""""","=""1.476e+09""","=""1.228e-03""","=""1.944e-03""",AA,"=""(41.79929914)""","=""(51.27465)""","=""1s.2p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""1""",5,3,,"=""T5997LS""","=""""",
O,7,"=""""","=""""","=""9.61966""","=""0.00004""","=""""","=""2.250e+10""","=""9.361e-02""","=""2.964e-02""",AA,"=""(41.8133563)""","=""(51.286318)""","=""1s.2s""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
